year, daya, temperature, temperature_High(invalid), psnsun_cpool, psnsun_cpool_High(invalid), psnshade_cpool, psnshade_cpool_High(invalid), carbon limited, carbon limited Per(invalid)
0, 122, 9.907, 9.907, 4.52014e-06, 0, 7.18677e-09, 0, 1, -1
0, 123, 10.3705, 10.3705, 9.20262e-06, 0, 2.89257e-08, 0, 1, -1
0, 124, 9.3935, 9.3935, 1.28054e-05, 0, 6.00375e-08, 0, 1, -1
0, 125, 4.855, 4.855, 1.26413e-05, 0, 7.99988e-08, 0, 1, -1
0, 126, 4.3005, 4.3005, 1.5075e-05, 0, 1.18417e-07, 0, 1, -1
0, 127, 7.981, 7.981, 2.25462e-05, 0, 2.06453e-07, 0, 1, -1
0, 128, 11.5445, 11.5445, 3.26775e-05, 0, 3.40291e-07, 0, 1, -1
0, 129, 12.389, 12.389, 3.89611e-05, 0, 4.57398e-07, 0, 1, -1
0, 130, 11.504, 11.504, 4.08612e-05, 0, 5.35801e-07, 0, 1, -1
0, 131, 10.348, 10.348, 4.15945e-05, 0, 6.02351e-07, 0, 1, -1
0, 132, 12.5, 12.5, 5.19386e-05, 0, 8.1151e-07, 0, 1, -1
0, 133, 11.352, 11.352, 5.19106e-05, 0, 8.78972e-07, 0, 1, -1
0, 134, 10.6015, 10.6015, 5.28751e-05, 0, 9.62072e-07, 0, 1, -1
0, 135, 13.2635, 13.2635, 6.68197e-05, 0, 1.28146e-06, 0, 1, -1
0, 136, 14.1085, 14.1085, 7.46696e-05, 0, 1.51232e-06, 0, 1, -1
0, 137, 14.1575, 14.1575, 7.88425e-05, 0, 1.68304e-06, 0, 0, -1
0, 138, 13.308, 13.308, 7.81785e-05, 0, 1.75746e-06, 0, 0, -1
0, 139, 12.373, 12.373, 7.68318e-05, 0, 1.8133e-06, 0, 0, -1
0, 140, 8.394, 8.394, 6.18607e-05, 0, 1.54756e-06, 0, 0, -1
0, 141, 6.701, 6.701, 5.76497e-05, 0, 1.51189e-06, 0, 1, -1
0, 142, 7.6295, 7.6295, 6.33278e-05, 0, 1.71452e-06, 0, 1, -1
0, 143, 8.6515, 8.6515, 6.98359e-05, 0, 1.94666e-06, 0, 1, -1
0, 144, 7.553, 7.553, 6.70951e-05, 0, 1.94001e-06, 0, 1, -1
0, 145, 9.4005, 9.4005, 0.000854486, 0, 2.58656e-05, 0, 0, -1
0, 146, 9.2445, 9.2445, 0.000947345, 0, 3.3914e-05, 0, 0, -1
0, 147, 7.296, 7.296, 0.00067191, 0, 2.69552e-05, 0, 0, -1
0, 148, 11.636, 11.636, 0.00114831, 0, 4.47094e-05, 0, 0, -1
0, 149, 10.1515, 10.1515, 0.00078347, 0, 3.38263e-05, 0, 0, -1
0, 150, 9.166, 9.166, 0.000791117, 0, 3.66226e-05, 0, 1, -1
0, 151, 10.359, 10.359, 0.00078946, 0, 3.78986e-05, 0, 1, -1
0, 152, 9.0375, 9.0375, 0.000697289, 0, 3.39204e-05, 0, 1, -1
0, 153, 10.233, 10.233, 0.00070676, 0, 3.52582e-05, 0, 1, -1
0, 154, 10.602, 10.602, 0.000732969, 0, 3.81052e-05, 0, 1, -1
0, 155, 5.983, 5.983, 0.000664634, 0, 3.45386e-05, 0, 1, -1
0, 156, 6.0395, 6.0395, 0.00154736, 0, 4.75308e-05, 0, 0, -1
0, 157, 7.3785, 7.3785, 0.00157407, 0, 4.81686e-05, 0, 0, -1
0, 158, 8.307, 8.307, 0.00166511, 0, 5.19701e-05, 0, 0, -1
0, 159, 10.952, 10.952, 0.00219535, 0, 7.65494e-05, 0, 0, -1
0, 160, 12.53, 12.53, 0.00216276, 0, 7.59858e-05, 0, 0, -1
0, 161, 10.952, 10.952, 0.00202848, 0, 6.90379e-05, 0, 0, -1
0, 162, 9.8065, 9.8065, 0.00180419, 0, 5.94791e-05, 0, 0, -1
0, 163, 7.1565, 7.1565, 0.00137828, 0, 4.38446e-05, 0, 0, -1
0, 164, 9.5095, 9.5095, 0.00211943, 0, 7.44041e-05, 0, 0, -1
0, 165, 11.207, 11.207, 0.00202625, 0, 7.06352e-05, 0, 0, -1
0, 166, 12.2135, 12.2135, 0.00243111, 0, 9.36883e-05, 0, 0, -1
0, 167, 11.3395, 11.3395, 0.00174167, 0, 5.89424e-05, 0, 0, -1
0, 168, 11.516, 11.516, 0.00194976, 0, 6.81627e-05, 0, 0, -1
0, 169, 10.1785, 10.1785, 0.00137698, 0, 4.5284e-05, 0, 0, -1
0, 170, 10.479, 10.479, 0.00179335, 0, 6.16205e-05, 0, 0, -1
0, 171, 11.029, 11.029, 0.00181744, 0, 6.28834e-05, 0, 0, -1
0, 172, 10.2325, 10.2325, 0.00194546, 0, 6.84896e-05, 0, 0, -1
0, 173, 12.2395, 12.2395, 0.00213684, 0, 7.83265e-05, 0, 0, -1
0, 174, 11.0265, 11.0265, 0.00213721, 0, 7.81029e-05, 0, 0, -1
0, 175, 12.3695, 12.3695, 0.00191383, 0, 6.82679e-05, 0, 0, -1
0, 176, 13.107, 13.107, 0.0022137, 0, 8.34673e-05, 0, 0, -1
0, 177, 15.4235, 15.4235, 0.00234789, 0, 9.29317e-05, 0, 0, -1
0, 178, 15.462, 15.462, 0.00252934, 0, 0.000105138, 0, 0, -1
0, 179, 15.467, 15.467, 0.00236202, 0, 9.43404e-05, 0, 0, -1
0, 180, 11.443, 11.443, 0.00162782, 0, 5.72735e-05, 0, 0, -1
0, 181, 14.379, 14.379, 0.00240979, 0, 9.70181e-05, 0, 0, -1
0, 182, 12.4435, 12.4435, 0.00202556, 0, 7.5346e-05, 0, 0, -1
0, 183, 13.848, 13.848, 0.00237614, 0, 9.49895e-05, 0, 0, -1
0, 184, 9.712, 9.712, 0.00119465, 0, 4.13072e-05, 0, 0, -1
0, 185, 13.954, 13.954, 0.00206078, 0, 7.83896e-05, 0, 0, -1
0, 186, 13.0685, 13.0685, 0.00202687, 0, 7.65695e-05, 0, 0, -1
0, 187, 10.496, 10.496, 0.00158413, 0, 5.68511e-05, 0, 0, -1
0, 188, 11.0245, 11.0245, 0.00174202, 0, 6.36116e-05, 0, 0, -1
0, 189, 10.0815, 10.0815, 0.00143271, 0, 5.11138e-05, 0, 0, -1
0, 190, 12.105, 12.105, 0.00243688, 0, 9.86921e-05, 0, 0, -1
0, 191, 11.733, 11.733, 0.00164989, 0, 6.04539e-05, 0, 0, -1
0, 192, 10.0425, 10.0425, 0.00170284, 0, 6.29989e-05, 0, 0, -1
0, 193, 9.743, 9.743, 0.00200837, 0, 7.69914e-05, 0, 0, -1
0, 194, 10.3385, 10.3385, 0.0018127, 0, 6.82564e-05, 0, 0, -1
0, 195, 11.467, 11.467, 0.00221832, 0, 8.8533e-05, 0, 0, -1
0, 196, 9.911, 9.911, 0.00148317, 0, 5.4635e-05, 0, 0, -1
0, 197, 11.8805, 11.8805, 0.00189306, 0, 7.2861e-05, 0, 0, -1
0, 198, 10.952, 10.952, 0.00206045, 0, 8.08951e-05, 0, 0, -1
0, 199, 14.0395, 14.0395, 0.00257925, 0, 0.000113687, 0, 0, -1
0, 200, 13.5285, 13.5285, 0.00231894, 0, 9.66364e-05, 0, 0, -1
0, 201, 10.8585, 10.8585, 0.00210433, 0, 8.39847e-05, 0, 0, -1
0, 202, 13.4785, 13.4785, 0.00230372, 0, 9.62671e-05, 0, 0, -1
0, 203, 12.1, 12.1, 0.00155353, 0, 5.93176e-05, 0, 0, -1
0, 204, 11.011, 11.011, 0.00155049, 0, 5.9192e-05, 0, 0, -1
0, 205, 11.421, 11.421, 0.00223836, 0, 9.21164e-05, 0, 0, -1
0, 206, 11.5135, 11.5135, 0.00162088, 0, 6.26793e-05, 0, 0, -1
0, 207, 11.1005, 11.1005, 0.00199218, 0, 7.98574e-05, 0, 0, -1
0, 208, 13.51, 13.51, 0.00243535, 0, 0.000105553, 0, 0, -1
0, 209, 12.623, 12.623, 0.00215435, 0, 8.91907e-05, 0, 0, -1
0, 210, 11.968, 11.968, 0.00213389, 0, 8.81149e-05, 0, 0, -1
0, 211, 13.3385, 13.3385, 0.00239457, 0, 0.000103763, 0, 0, -1
0, 212, 11.1175, 11.1175, 0.00196023, 0, 7.97192e-05, 0, 0, -1
0, 213, 12.5455, 12.5455, 0.00248639, 0, 0.000109406, 0, 0, -1
0, 214, 13.4265, 13.4265, 0.00215041, 0, 9.08363e-05, 0, 0, -1
0, 215, 14.177, 14.177, 0.00245844, 0, 0.000109571, 0, 0, -1
0, 216, 13.7805, 13.7805, 0.00211942, 0, 8.9962e-05, 0, 0, -1
0, 217, 15.9765, 15.9765, 0.00260281, 0, 0.000120943, 0, 0, -1
0, 218, 16.1075, 16.1075, 0.00271409, 0, 0.00012947, 0, 0, -1
0, 219, 13.7515, 13.7515, 0.00203577, 0, 8.65118e-05, 0, 0, -1
0, 220, 11.437, 11.437, 0.00191993, 0, 8.01505e-05, 0, 0, -1
0, 221, 11.2045, 11.2045, 0.00176501, 0, 7.29051e-05, 0, 0, -1
0, 222, 10.934, 10.934, 0.00186715, 0, 7.79137e-05, 0, 0, -1
0, 223, 12.2385, 12.2385, 0.00244901, 0, 0.000109764, 0, 0, -1
0, 224, 14.227, 14.227, 0.00285155, 0, 0.000140163, 0, 0, -1
0, 225, 15.53, 15.53, 0.00277356, 0, 0.000135575, 0, 0, -1
0, 226, 15.119, 15.119, 0.0028591, 0, 0.000146434, 0, 0, -1
0, 227, 11.6525, 11.6525, 0.00206736, 0, 9.04785e-05, 0, 0, -1
0, 228, 12.609, 12.609, 0.00238081, 0, 0.000109089, 0, 0, -1
0, 229, 11.4765, 11.4765, 0.00229276, 0, 0.000103545, 0, 0, -1
0, 230, 12.8935, 12.8935, 0.00260433, 0, 0.000124597, 0, 0, -1
0, 231, 10.2505, 10.2505, 0.00151394, 0, 6.40969e-05, 0, 0, -1
0, 232, 10.802, 10.802, 0.00203301, 0, 8.98284e-05, 0, 0, -1
0, 233, 11.1915, 11.1915, 0.00218965, 0, 9.86846e-05, 0, 0, -1
0, 234, 12.068, 12.068, 0.00208733, 0, 9.36352e-05, 0, 0, -1
0, 235, 13.697, 13.697, 0.00295758, 0, 0.000154881, 0, 0, -1
0, 236, 11.4085, 11.4085, 0.00189337, 0, 8.38956e-05, 0, 0, -1
0, 237, 11.598, 11.598, 0.00217085, 0, 9.99453e-05, 0, 0, -1
0, 238, 13.5585, 13.5585, 0.00274201, 0, 0.000140601, 0, 0, -1
0, 239, 11.6115, 11.6115, 0.00201329, 0, 9.17603e-05, 0, 0, -1
0, 240, 14.4525, 14.4525, 0.00259385, 0, 0.000130635, 0, 0, -1
0, 241, 14.8045, 14.8045, 0.00271758, 0, 0.00014107, 0, 0, -1
0, 242, 14.7945, 14.7945, 0.00273827, 0, 0.000142978, 0, 0, -1
0, 243, 13.864, 13.864, 0.00250558, 0, 0.000124305, 0, 0, -1
0, 244, 14.2185, 14.2185, 0.00282919, 0, 0.000150109, 0, 0, -1
0, 245, 14.925, 14.925, 0.00278704, 0, 0.000147598, 0, 0, -1
0, 246, 14.0725, 14.0725, 0.00272715, 0, 0.000141367, 0, 0, -1
0, 247, 13.038, 13.038, 0.0025145, 0, 0.000124271, 0, 0, -1
0, 248, 12.8215, 12.8215, 0.00201197, 0, 9.29915e-05, 0, 0, -1
0, 249, 14.4275, 14.4275, 0.0026111, 0, 0.000132218, 0, 0, -1
0, 250, 14.853, 14.853, 0.00251113, 0, 0.000125069, 0, 0, -1
0, 251, 12.3925, 12.3925, 0.00258487, 0, 0.000127565, 0, 0, -1
0, 252, 11.6545, 11.6545, 0.00262484, 0, 0.000129901, 0, 0, -1
0, 253, 11.604, 11.604, 0.00270879, 0, 0.000135325, 0, 0, -1
0, 254, 9.816, 9.816, 0.00229785, 0, 0.000105971, 0, 0, -1
0, 255, 9.0585, 9.0585, 0.00279712, 0, 0.000140588, 0, 0, -1
0, 256, 8.5855, 8.5855, 0.00249556, 0, 0.000135632, 0, 0, -1
0, 257, 10.3535, 10.3535, 0.0020999, 0, 0.000127627, 0, 0, -1
0, 258, 10.5835, 10.5835, 0.0022462, 0, 0.000120104, 0, 0, -1
0, 259, 11.422, 11.422, 0.00227355, 0, 0.000115168, 0, 0, -1
0, 260, 11.9015, 11.9015, 0.00233385, 0, 0.000105671, 0, 0, -1
0, 261, 12.2325, 12.2325, 0.00232193, 0, 0.000104122, 0, 0, -1
0, 262, 10.0335, 10.0335, 0.0018252, 0, 7.36303e-05, 0, 0, -1
0, 263, 11.1415, 11.1415, 0.00199482, 0, 8.14519e-05, 0, 0, -1
0, 264, 10.14, 10.14, 0.00189889, 0, 7.49294e-05, 0, 0, -1
0, 265, 11.894, 11.894, 0.0021006, 0, 8.53499e-05, 0, 0, -1
0, 266, 11.87, 11.87, 0.00190919, 0, 7.33593e-05, 0, 0, -1
0, 267, 11.511, 11.511, 0.00193037, 0, 7.3037e-05, 0, 0, -1
0, 268, 11.981, 11.981, 0.0018253, 0, 6.64447e-05, 0, 0, -1
0, 269, 12.227, 12.227, 0.00184912, 0, 6.77985e-05, 0, 0, -1
0, 270, 11.716, 11.716, 0.00170436, 0, 5.87725e-05, 0, 0, -1
0, 271, 10.2545, 10.2545, 0.00132509, 0, 4.105e-05, 0, 0, -1
0, 272, 10.2125, 10.2125, 0.00137995, 0, 4.1767e-05, 0, 0, -1
