1.458	-7.17	-2.302958333	0.2	137.6041667	72.64636752	34200	9999	9999
-8.02	-11.729	-10.03941667	0	89.5625	20.80049858	34200	9999	9999
0.047	-9.14	-4.900895833	0	80.35416667	5.350111926	30600	9999	9999
1.892	-3.369	-0.811625	4.1	76.27083333	24.67147945	34200	9999	9999
-3.687	-8.6	-6.25975	0	88.375	28.63386243	32400	9999	9999
-4.453	-11.359	-7.7856875	0	120.6041667	57.95225885	34200	9999	9999
-9.47	-20.459	-13.22952083	0	137.6041667	60.67623118	34200	9999	9999
-18.739	-24.43	-21.93525	0	89.5625	83.93353683	34200	9999	9999
-17.1	-26.379	-22.31814583	0	80.35416667	85.76206756	34200	9999	9999
-18.7	-25.469	-22.772875	0	76.27083333	87.18620269	34200	9999	9999
-14.34	-27.35	-19.467875	0	88.375	62.89734432	34200	9999	9999
-7.34	-17.62	-12.29270833	0	92.4375	64.84862638	34200	9999	9999
-10.38	-23.35	-13.58727083	0	80.97916667	25.79102564	34200	9999	9999
-22.639	-28.219	-25.680625	0	71.64583333	93.68960114	34200	9999	9999
-21.209	-26.639	-24.69822917	0	77.75	94.42091982	34200	9999	9999
-8.47	-26.579	-17.55758333	0	101.3958333	78.01148759	34200	9999	9999
-2.867	-11.55	-6.023833333	0	235.0416667	88.16743997	34200	9999	9999
-5.027	-11.899	-8.724770833	0	88.35416667	18.36482499	34200	9999	9999
-5.436	-9.67	-8.092208333	0	104.4375	83.11954619	34200	9999	9999
-6.885	-9.22	-8.037958333	0	149.5208333	82.93730159	34200	9999	9999
-4.857	-12.289	-8.920729167	0	180.6875	95.76937322	36000	9999	9999
-7.699	-16.51	-11.51095833	0	76.375	37.99994912	34200	9999	9999
-9.43	-19.34	-14.78333333	0	120.7916667	78.4397843	36000	9999	9999
-16.549	-23.17	-20.05527083	0	96.04166667	104.7106634	37800	9999	9999
-17.479	-25.75	-21.92295833	0	89.0625	106.8485348	37800	9999	9999
-15.25	-24.34	-20.01747917	0	103.375	111.0596561	37800	9999	9999
-5.043	-21.95	-14.08877083	0	170.875	108.6327127	37800	9999	9999
-8.09	-18.59	-12.59564583	0	129.7916667	104.8299756	37800	9999	9999
-6.629	-12.3	-9.3185625	0	170.3958333	70.54495319	36000	9999	9999
-10.359	-16.569	-13.14322917	0	136.4583333	110.5064815	37800	9999	9999
