year, daya, temperature, temperatureT, psnsun_to_cpool, psnsun_to_cpool_T, psnshade_to_cpool, psnshade_to_cpool_T, limited, carbon limited Per
0, 264, 10.14, 7.44427, 0.0028604, 0.00290241, 0.000893723, 0.00100994, 0, 0.166667
0, 265, 11.894, 9.2255, 0.00339081, 0.00355716, 0.00105674, 0.00129114, 0, 0.458333
0, 266, 11.87, 8.63058, 0.00313769, 0.00323261, 0.0009464, 0.00114484, 0, 0.291667
0, 267, 11.511, 8.55231, 0.00315755, 0.00312556, 0.000939995, 0.00109176, 0, 0.416667
0, 268, 11.981, 9.28765, 0.00309277, 0.00321615, 0.000894128, 0.00105605, 0, 0.291667
0, 269, 12.227, 8.95948, 0.00311988, 0.00341694, 0.000889524, 0.00113976, 0, 0.434783
0, 270, 11.716, 8.44337, 0.00286893, 0.00300723, 0.000788714, 0.000950629, 0, 0.304348
0, 271, 10.2545, 7.01452, 0.00220626, 0.00236943, 0.000573499, 0.000701229, 0, 0.217391
0, 272, 10.2125, 7.49494, 0.00230152, 0.00262323, 0.0005843, 0.000726172, 0, 0.130435
0, 273, 8.851, 7.0559, 0.00198528, 0.00222749, 0.000484672, 0.000570336, 0, 0
0, 274, 10.6195, 7.23713, 0.0024778, 0.00244278, 0.000591608, 0.000664609, 0, 0.304348
0, 275, 10.019, 6.95104, 0.00232295, 0.00242138, 0.000530861, 0.000603385, 0, 0.26087
0, 276, 11.014, 7.99494, 0.00247105, 0.00260721, 0.000540365, 0.000635425, 0, 0.347826
0, 277, 9.4645, 7.03356, 0.00142982, 0.0019106, 0.000281416, 0.00039974, 0, 0
0, 278, 4.985, 3.23025, 0.00122721, 0.00117104, 0.000236687, 0.000230846, 0, 0
0, 279, 5.23, 3.15717, 0.00127642, 0.00137054, 0.000231878, 0.000252371, 0, 0
0, 280, 6.2585, 3.41106, 0.00129044, 0.0013907, 0.000219329, 0.000236879, 0, 0
0, 281, 5.4935, 3.49508, 0.000953726, 0.00104291, 0.000142868, 0.000160389, 0, 0
0, 282, 7.607, 4.97469, 0.00136909, 0.0014183, 0.000190425, 0.000201723, 0, 0
0, 283, 9.336, 5.60869, 0.00146393, 0.00145753, 0.000183638, 0.000190319, 0, 0.217391
0, 284, 9.4655, 5.95687, 0.00130489, 0.00134351, 0.000142708, 0.000153719, 0, 0.217391
0, 285, 9.315, 6.66485, 0.0011155, 0.00112957, 0.000102503, 0.00010668, 0, 0.0869565
0, 286, 8.848, 6.30596, 0.000894266, 0.000985478, 6.70528e-05, 7.59959e-05, 0, 0
0, 287, 5.091, 3.38996, 0.000427871, 0.000455032, 2.43554e-05, 2.61409e-05, 0, 0
0, 288, 3.0555, 1.08202, 0.00026345, 0.000269025, 1.03839e-05, 1.05983e-05, 0, 0
