temp,c
35.579,11.3615
35.57,-1.29457
35.57,4.75755
35.57,8.56795
35.57,10.5563
35.57,11.6194
35.56,8.86103
35.56,11.3226
35.54,11.2036
35.533,10.1363
35.53,11.2657
35.53,11.5108
35.525,8.51288
35.52,6.64798
35.52,11.1929
35.51,6.57033
35.48,11.1988
35.47,5.10854
35.47,10.466
35.47,11.2388
35.47,11.296
35.45,1.83872
35.448,4.25033
35.44,9.88026
35.44,11.2276
35.44,11.6116
35.43,11.2311
35.43,11.3796
35.42,11.227
35.42,11.6305
35.41,4.69007
35.41,6.58389
35.41,9.02213
35.41,11.4814
35.409,11.2685
35.4,9.87868
35.4,10.8127
35.4,11.6597
35.392,-1.326
35.39,2.94803
35.39,11.389
35.38,8.37418
35.38,11.3573
35.38,11.5714
35.38,11.5735
35.374,6.46386
35.37,6.42761
35.36,9.95003
35.36,10.9578
35.35,11.4055
35.35,11.6735
35.33,2.06086
35.33,2.10838
35.33,4.12918
35.33,4.33956
35.33,11.5614
35.321,11.469
35.32,-1.89406
35.31,2.01365
35.31,7.97321
35.31,10.3618
35.3,8.32058
35.3,11.2524
35.298,7.11521
35.296,11.6228
35.29,4.3481
35.29,10.0795
35.29,11.252
35.29,11.2918
35.29,11.3739
35.28,3.48191
35.28,11.6306
35.279,8.92096
35.27,10.5349
35.27,11.2562
35.25,8.61539
35.25,10.7276
35.25,11.1401
35.25,11.3102
35.24,5.1864
35.24,8.13167
35.24,10.0506
35.232,8.73587
35.23,11.4097
35.23,11.6523
35.23,11.6645
35.215,11.4723
35.21,-0.28925
35.21,11.6501
35.2,-2.01213
35.2,5.83908
35.2,9.57876
35.2,11.0549
35.2,11.1805
35.2,11.6608
35.19,8.83926
35.18,8.70931
35.17,11.1666
35.17,11.2505
35.17,11.6748
35.16,9.38363
35.16,9.59123
35.16,11.1931
35.16,11.6233
35.16,11.6478
35.15,8.60983
35.15,9.10271
35.15,11.2913
35.14,0.591279
35.14,3.77268
35.14,11.1602
35.14,11.6667
35.13,11.5138
35.13,11.6312
35.12,5.80756
35.12,9.68899
35.12,11.2683
35.11,11.2632
35.1,10.1737
35.1,11.1002
35.09,10.8903
35.08,11.1885
35.08,11.6221
35.07,11.6907
35.06,-0.395535
35.06,6.17344
35.06,6.33802
35.06,11.0671
35.06,11.0896
35.06,11.2509
35.05,8.47443
35.05,9.24237
35.05,9.33455
35.04,11.05
35.04,11.3539
35.03,6.62971
35.03,10.1845
35.03,11.0925
35.03,11.554
35.02,-2.08305
35.02,11.2807
35.02,11.3117
35.02,11.6143
35.019,11.6152
35.01,9.10799
35.01,10.1478
35.01,11.5193
35,11.2991
35,11.4187
34.98,8.23583
34.97,8.37207
34.97,9.04443
34.97,11.632
34.965,11.5431
34.96,1.52159
34.96,2.01947
34.96,7.44375
34.96,11.3903
34.96,11.5662
34.95,2.30818
34.943,7.45809
34.94,-0.823471
34.94,2.62041
34.94,4.19905
34.94,6.27886
34.94,11.1673
34.94,11.4007
34.94,11.5606
34.93,1.46638
34.93,11.2595
34.93,11.3274
34.93,11.5052
34.91,10.8289
34.91,11.368
34.91,11.6237
34.91,11.6857
34.9,4.30866
34.9,7.1634
34.9,11.3739
34.89,10.4818
34.89,11.5359
34.883,10.326
34.88,-0.403529
34.88,4.50333
34.88,7.09046
34.88,10.1646
34.88,11.1179
34.87,9.04526
34.86,-0.335982
34.86,6.42136
34.86,7.09861
34.86,7.63617
34.86,11.3263
34.86,11.6671
34.86,11.7388
34.85,8.50033
34.85,8.79064
34.84,8.61249
34.84,10.7208
34.84,11.2855
34.84,11.6515
34.83,8.59249
34.83,11.2664
34.83,11.35
34.827,3.85048
34.82,2.38036
34.82,5.41622
34.82,9.51793
34.82,11.4883
34.81,0.991938
34.81,8.81867
34.81,11.116
34.801,11.3354
34.801,11.4135
34.8,9.38681
34.8,10.5361
34.8,10.6993
34.8,11.1193
34.8,11.2654
34.8,11.6944
34.79,11.3639
34.79,11.3829
34.79,11.541
34.79,11.6753
34.781,11.4752
34.78,6.28874
34.78,10.8144
34.78,11.1993
34.78,11.2532
34.77,1.71012
34.77,5.08866
34.77,11.1011
34.76,9.39193
34.76,10.7059
34.76,11.1438
34.76,11.168
34.76,11.3092
34.75,10.9786
34.75,11.2047
34.75,11.2225
34.74,8.3773
34.74,10.1543
34.73,0.33947
34.73,10.3204
34.73,11.3425
34.73,11.3744
34.72,9.37774
34.71,1.74719
34.71,9.27019
34.71,9.49201
34.705,11.4926
34.7,7.26582
34.7,11.5727
34.697,11.3675
34.695,11.2816
34.69,-0.174402
34.69,5.13632
34.69,6.93306
34.69,11.2935
34.689,-0.958515
34.68,1.17703
34.68,9.27968
34.68,11.3429
34.67,10.6903
34.67,11.6065
34.662,6.4413
34.66,7.57014
34.66,9.30092
34.66,9.92649
34.66,10.3191
34.66,11.7116
34.652,4.53502
